Date,Open,High,Low,Close,Volume,Adj Close,Return
21/06/2013,4717.3,4717.3,4642.5,4697.64,0,4697.64,-0.012789745
14/06/2013,4656.4,4751.4,4656.4,4750.46,0,4750.46,0.011243944
7/06/2013,4741.8,4743.8,4693.4,4698.65,0,4698.65,-0.010906312
31/05/2013,4900.1,4920.4,4881.5,4885.56,0,4885.56,0.039779511
24/05/2013,5018.1,5038.6,4911.9,4940.24,0,4940.24,0.011192166
17/05/2013,5131.8,5150.6,5124.8,5137.18,0,5137.18,0.03986446
10/05/2013,5157.8,5199.6,5156.5,5164.81,0,5164.81,0.005378437
3/05/2013,5086.7,5139.1,5083.5,5086.38,0,5086.38,-0.015185457
26/04/2013,5072.3,5094.1,5057.7,5057.78,0,5057.78,-0.005622859
24/04/2013,4983,5062.1,4983,5061.02,0,5061.02,0.000640597
19/04/2013,4885.8,4921.1,4880.7,4894.49,910510000,4894.49,-0.032904434
18/04/2013,4950.5,4953.5,4885.76,4885.76,1195010000,4885.76,-0.001783638
17/04/2013,4914,4968.5,4914,4966.15,849840000,4966.15,0.01645394
16/04/2013,4933.1,4933.1,4877.5,4914.02,979030000,4914.02,-0.010497065
15/04/2013,4971.7,4971.7,4898.8,4933.07,812800000,4933.07,0.003876663
12/04/2013,4972.9,4989,4972.5,4979.84,0,4979.84,0.009480911
11/04/2013,4935.7,4980.1,4935.7,4973.57,862980000,4973.57,-0.001259077
10/04/2013,4954,4959.3,4924.5,4935.68,952420000,4935.68,-0.00761827
9/04/2013,4874.2,4943.8,4874.2,4943.8,1174150000,4943.8,0.001645163
8/04/2013,4860.4,4882.4,4858.4,4874.2,722230000,4874.2,-0.014078239
5/04/2013,4887,4891.8,4852.2,4860.41,0,4860.41,-0.002829182
28/03/2013,4965.9,4965.9,4937.9,4937.92,0,4937.92,0.015947214
22/03/2013,4929.3,4955.1,4900.8,4939.25,0,4939.25,0.000269344
15/03/2013,5004.4,5091.41,5004.4,5091.41,0,5091.41,0.030806297
8/03/2013,5081.1,5103,5074.4,5095.48,0,5095.48,0.000799386
7/03/2013,5091.7,5107.1,5059.1,5081.14,827860000,5081.14,-0.002814259
6/03/2013,5047.3,5102.9,5047.3,5088.53,924710000,5088.53,0.001454398
5/03/2013,4983.7,5067,4983.7,5047.32,856080000,5047.32,-0.008098606
4/03/2013,5059,5059,4982.6,4983.73,808890000,4983.73,-0.012598765
